,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
254,510388,Villains,2019-09-20,tt6378710,R,90 min,"Comedy, Drama, Horror, Thriller","Dan Berk, Robert Olsen","Dan Berk, Robert Olsen","Bill Skarsgård, Maika Monroe, Jeffrey Donovan, Kyra Sedgwick","After a pair of amateur criminals break into a suburban home, they stumble upon a dark secret that two sadistic homeowners will do anything to keep from getting out.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOWE4ZGYyNTktMmE3Zi00YmM5LWE2ZmEtZDI1YTNkYzQ5NGZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.2,"2,107",,,movie,N/A,N/A,Gunpowder &amp; Sky
255,543917,Bloodline,2019-09-20,tt3520702,TV-MA,60 min,"Drama, Thriller",N/A,"Glenn Kessler, Todd A. Kessler, Daniel Zelman","Kyle Chandler, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett",A family finds themselves forced to face their past secrets and scars when the black sheep returns home.,English,USA,Nominated for 1 Golden Globe. Another 4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTU4OTY0MzM1OV5BMl5BanBnXkFtZTgwMjkxMzE0MjI@._V1_SX300.jpg,8.0,"40,213",,,series,,,
256,521844,The Wedding Year,2019-09-20,tt8367184,R,90 min,Comedy,Robert Luketic,Donald Diego (screenplay),"Sarah Hyland, Anna Camp, Jenna Dewan, Keith David",A commitment-phobic 27 year old's relationship is put to the test when she and her new boyfriend go to 7 weddings in the same year.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGU0ZDAxNjYtMTFlMi00MzY5LThhYmUtYWM5MTY1ODVmZTNlXkEyXkFqcGdeQXVyNjI2ODA4MDU@._V1_SX300.jpg,5.3,595,,,movie,20 Sep 2019,N/A,Entertainment Studios Motion Pictures
257,548473,Color Out of Space,2019-09-20,tt5073642,N/A,111 min,"Horror, Sci-Fi",Richard Stanley,"Scarlett Amaris, H.P. Lovecraft (based on the short story by), Richard Stanley (screenplay)","Nicolas Cage, Joely Richardson, Q'orianka Kilcher, Tommy Chong",A town is struck by a meteorite and the fallout is catastrophic.,English,"Portugal, USA, Malaysia",1 nomination.,https://m.media-amazon.com/images/M/MV5BZjQ1YTM4M2UtMTQxNS00YjdjLTgwZGYtZTgzYmFiYjFkYzNlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.4,683,,,movie,N/A,N/A,RLJE Films
258,619798,7 Days to Vegas,2019-09-20,tt6840554,N/A,92 min,Comedy,Eric Balfour,"Steve Alper, Vincent Van Patten","Vincent Van Patten, Ross McCall, Paul Walter Hauser, Eileen Davidson",Inspired by a true story about Hollywood big shots who will bet on anything.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BM2VhMmVmZmUtNWZmZC00ZmVkLTllNTYtMjQ5NzNmMjY4Y2M5XkEyXkFqcGdeQXVyNzcwOTIwMA@@._V1_SX300.jpg,5.3,443,,,movie,20 Sep 2019,N/A,Gravitas Ventures
259,340104,Lucy in the Sky,2019-10-04,tt4682804,R,124 min,"Drama, Sci-Fi",Noah Hawley,"Brian C. Brown (story by), Elliott DiGuiseppi (story by), Noah Hawley (revisions by), Elliott DiGuiseppi, Brian C. Brown","Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens","Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.","English, French, German, Latin",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNmEzMDkxYzItMjdiNC00YzA5LWJmYWMtMzc2Mjc1MTdjNDZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,4.6,"1,928",,,movie,17 Dec 2019,N/A,26 Keys Productions
260,530076,Corporate Animals,2019-09-20,tt8366502,R,86 min,"Comedy, Horror",Patrick Brice,Sam Bain,"Demi Moore, Ed Helms, Jessica Williams, Karan Soni",CEO Lucy takes her staff on corporate team building in some underground desert caves in New Mexico. They get stuck there.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZGI4NDhmMTUtNTcwMC00OTY3LWIyYTItYWM5ZjNkZGM2ZjQzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,4.4,"1,266",,,movie,20 Sep 2019,N/A,Screen Media Films
261,656190,Saria,2019-09-20,tt11421246,N/A,23 min,"Short, Drama",Bryan Buckley,Bryan Buckley,"Estefanía Tellez, Gabriela Ramírez, Verónica Zúñiga, Leticia Zúñiga","SARIA explores the unimaginable hardships faced by young female orphans at the Virgen de La Asuncion Safe Home in Guatemala, leading up to the tragic fire which claimed 41 of their lives in...",Spanish,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE4ZTQwZjQtZmQ0NC00MDAzLWI0MzgtZDJjOTI3MDc5NzI3XkEyXkFqcGdeQXVyMTkzNjQ1MDA@._V1_SX300.jpg,8.0,52,,,movie,N/A,N/A,N/A
262,628839,Coming Up for Air,2019-09-20,tt2061618,N/A,21 min,"Short, Drama, Mystery",Bobby Field,Bobby Field,"Peter Field, Harwood Gordon, Sara McCabe, Brenda Schmid","When haunted by an ominous visitor, a listless, young widow struggles to discover its true meaning.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA5OTExMzIyNV5BMl5BanBnXkFtZTcwMDQzMDA5Ng@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
263,565531,Where's My Roy Cohn?,2019-09-20,tt7193362,PG-13,97 min,Documentary,Matt Tyrnauer,N/A,"Roy M. Cohn, Ken Auletta, Marie Brenner, Robert Cohen","Roy Cohn personified the dark arts of American politics, turning empty vessels into dangerous demagogues - from Joseph McCarthy to his final project, Donald J. Trump.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BNGRkY2UxMWItZmFiMi00NWE5LWI1ZmItN2IzNGYxYTk2NzY3XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,6.1,342,,,movie,N/A,N/A,N/A
264,431580,Abominable,2019-09-27,tt6324278,PG,97 min,"Animation, Adventure, Comedy, Family, Fantasy","Jill Culton, Todd Wilderman(co-director)",Jill Culton,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want it for their own needs.,"English, Mandarin","China, USA",3 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMTYzY2U0NjctNDJkNS00MmE3LWFiZGQtZjllZTIzYTQ4ODJkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,7.0,"14,581",,,movie,03 Dec 2019,N/A,Universal Pictures
265,522938,Rambo: Last Blood,2019-09-20,tt1206885,R,89 min,"Action, Adventure, Thriller",Adrian Grunberg,"Matthew Cirulnick (screenplay by), Sylvester Stallone (screenplay by), Dan Gordon (story by), Sylvester Stallone (story by), David Morrell (based on the character created by)","Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza",Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,"English, Spanish","USA, Spain, Bulgaria",N/A,https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg,6.2,"48,251",,,movie,N/A,N/A,N/A
266,419706,Mary,2019-10-11,tt0425236,Not Rated,83 min,"Drama, Thriller",Abel Ferrara,"Abel Ferrara, Mario Isabella, Simone Lageoles, Scott Pardo (screenplay)","Juliette Binoche, Forest Whitaker, Matthew Modine, Heather Graham",The Virgin Mary delivers a message to an 11-year-old girl.,"English, Hebrew, French","Italy, France, USA",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTgzZDkzYWUtYTQxOC00ZWZkLWI0M2ItMDI0YTc1Y2UyMDAyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,5.8,"1,791",,,movie,N/A,N/A,IFC First Take
267,633027,"El Equipito, Capítulo 1: ¡Todo por una Herencia!",2019-09-20,tt9663100,N/A,93 min,Comedy,Roberto Angel Salcedo,Roberto Angel Salcedo,"Roberto Angel Salcedo, Juan Carlos Pichardo Jr., La Insuperable, Dotol Nastra",Angela and her cousin Miguel Angel form a team to uncover the mysterious disappearance of the documents of an inheritance awarded to her.,Spanish,Dominican Republic,N/A,https://m.media-amazon.com/images/M/MV5BOGNlZTVlYWMtNmNlMy00Yjg5LTllYTEtYWUxMWZiNThiODJjXkEyXkFqcGdeQXVyODU4MjAxOQ@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
268,291867,Zeroville,2019-09-20,tt1881109,R,96 min,"Comedy, Drama",James Franco,"Steve Erickson (novel), Paul Felten, Ian Olds","James Franco, Megan Fox, Seth Rogen, Joey King",A young actor arrives in Hollywood in 1969 during a transitional time in the Industry.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZGMwZDFjNWUtODM0YS00NmVjLTlkY2EtNzdiNzczYzk4MDZiXkEyXkFqcGdeQXVyMTA3MzQ4MTg5._V1_SX300.jpg,4.7,699,,,movie,N/A,N/A,myCinema
270,566216,Midnight Traveler,2019-09-18,tt8923500,N/A,90 min,"Documentary, War",Hassan Fazili,Emelie Coleman Mahdavian,"Hassan Fazili, Nargis Fazili, Zahra Fazili, Fatima Hossaini","When the Taliban puts a bounty on Afghan director Hassan Fazili's head, he is forced to flee with his wife and two young daughters. Capturing their uncertain journey, Fazili shows firsthand...","Arabic, English, Turkish, Bulgarian","USA, UK, Canada, Qatar",N/A,https://m.media-amazon.com/images/M/MV5BMzlhNDI4YmItODE5OS00OTdjLTliNGQtYjQ4NTcxNzI0NjIxXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg,7.2,98,,,movie,N/A,N/A,Oscilloscope Laboratories
272,419704,Ad Astra,2019-09-20,tt2935510,PG-13,123 min,"Adventure, Drama, Mystery, Sci-Fi, Thriller",James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","English, Japanese, Russian, Norwegian","USA, China",6 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BZTllZTdlOGEtZTBmMi00MGQ5LWFjN2MtOGEyZTliNGY1MzFiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,6.7,"120,739",,,movie,03 Dec 2019,N/A,20th Century Fox
273,463088,The Game Changers,2019-09-16,tt7455754,N/A,108 min,Documentary,Louie Psihoyos,"Shannon Kornelsen (Co-writer), Mark Monroe, Joseph Pace","James Wilks, Arnold Schwarzenegger, Patrik Baboumian, Dotsie Bausch",A UFC fighter's world is turned upside down when he discovers an elite group of world-renowned athletes and scientists who prove that everything he had been taught about protein was a lie.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMzg4ZjMzOWEtZjBhZi00MzgxLWEzNmItYjVlYjY0MGQ5ZmM5XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,8.0,"10,677",,,movie,N/A,N/A,Fathom Events
274,630016,Out of Liberty,2019-09-13,tt9844368,PG,111 min,"Drama, Western",Garrett Batty,"Stephen Dethloff, Garrett Batty, S. McKay Stevens","Corbin Allred, Larry Bagby, Casey Elliott, Travis Farris","Winter 1839. LIBERTY, MISSOURI. Local jailer, Samuel Tillery (Jasen Wade) is tasked with watching Missouri's most wanted men as they await their upcoming hearing. Caught between the local ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmVkNGQ0NzYtMDcyYi00NmJmLWIxODQtYWIwYmY2MTBlZDAzXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,4.5,206,,,movie,N/A,N/A,Purdie Distribution
275,590209,Chasing Einstein,2019-09-13,tt9799626,N/A,82 min,Documentary,"Steve Brown, Timothy Wheeler",Eric Myerson,"Elena Aprile, Barry Barish, Laura Baudis, James Beacham","Nobody has managed to topple Einstein's theory of relativity, even though it leads to the shocking conclusion that most of the universe must be made of a mysterious form of invisible matter...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWQ2NzNiNTItOTgxYS00MTM3LTgyNjctOTRiNzYxY2QxMzM2XkEyXkFqcGdeQXVyMjMxNjEwMTA@._V1_SX300.jpg,7.2,33,,,movie,N/A,N/A,Atlas Distribution
276,597088,And Then We Danced,2020-02-07,tt8963708,N/A,113 min,"Drama, Romance",Levan Akin,Levan Akin,"Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili, Giorgi Tsereteli",Merab has been training from a young age at the National Georgian Ensemble with his dance partner Mary. His world turns upside down when the carefree Irakli arrives and becomes both his strongest rival and desire.,Georgian,"Sweden, Georgia, France",15 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNTE2OTkyMjktNzM5Zi00YjA0LTk0YzgtYTE1MTEyNDQ4NTM2XkEyXkFqcGdeQXVyODIwNjgxMzQ@._V1_SX300.jpg,8.2,"3,492",,,movie,N/A,N/A,Music Box Films
277,629442,3 Days with Dad,2019-09-13,tt6385768,N/A,94 min,Comedy,Larry Clarke,Larry Clarke,"J.K. Simmons, Lesley Ann Warren, Julie Ann Emery, Brian Dennehy","The last thing Eddie Mills (Larry Clarke) wants to do is go home to deal with his dying Dad (Brian Dennehy). But the Catholic guilt gnaws at him, and he returns home to his crazy family, an...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjU0MTY2MTctMTgyNS00ZjkxLWEzNDEtYmE5ZWI2MGFhMWJmXkEyXkFqcGdeQXVyMTg0MTI3Mg@@._V1_SX300.jpg,3.4,139,,,movie,N/A,N/A,N/A
278,537734,The Weekend,2019-09-13,tt1097021,N/A,99 min,Comedy,Michael Todd Kuskin,Michael Todd Kuskin,"Beau Allulli, Daniel Bartkewicz, Theodore Bouloukos, Erin Cunningham","Remember when you were a teenager and every little event seemed like it was of epic importance, like it would influence the rest of your life?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTY2NTE4ODM1MV5BMl5BanBnXkFtZTcwMzgyNTE2MQ@@._V1_SX300.jpg,3.2,605,,,movie,29 Apr 2008,N/A,N/A
279,501977,Depraved,2019-09-13,tt7946216,Not Rated,114 min,"Drama, Horror, Thriller",Larry Fessenden,Larry Fessenden,"David Call, Joshua Leonard, Alex Breaux, Ana Kayne",A disillusioned field surgeon suffering from PTSD makes a man out of body parts and brings him to life in a Brooklyn loft.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYThlNGI3MmYtNmRiYS00ZTQ1LWFjYmEtYWI0MDdhZTlhNDk0XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,5.0,648,,,movie,13 Sep 2019,N/A,IFC Midnight
280,539892,Freaks,2019-09-13,tt0022913,Not Rated,64 min,"Drama, Horror",Tod Browning,"Clarence Aaron 'Tod' Robbins (suggested by story: ""Spurs""), Willis Goldbeck (screenplay), Leon Gordon (screenplay)","Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","English, German, French",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjMyYjgyOTQtZDVlZS00NTQ0LWJiNDItNGRlZmM3Yzc0N2Y0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,7.9,"39,580",,,movie,10 Aug 2004,N/A,MGM
281,565341,The Sound of Silence,2019-09-13,tt9352926,Unrated,85 min,Drama,Michael Tyburski,"Ben Nabors (based on the short film written by), Ben Nabors, Ben Nabors (story by), Michael Tyburski (based on the short film written by), Michael Tyburski","Peter Sarsgaard, Rashida Jones, Tony Revolori, Austin Pendleton","A successful ""house tuner"" in New York City, who calibrates the sound in people's homes in order to adjust their moods, meets a client with a problem he can't solve.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BZDgxYjUyOGEtYTIxMi00NzIyLTllNjgtN2YxNzgzNzVhNzQyXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,5.3,472,,,movie,13 Sep 2019,N/A,N/A
282,517116,Haunt,2019-09-13,tt6535880,R,92 min,"Horror, Thriller","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Katie Stevens, Will Brittain, Lauryn Alisa McClain, Andrew Caldwell","On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BODczNzBhOWMtZGNlOS00YjBhLWI2ZDgtMzA2MjFkZmJhNTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.3,"9,376",,,movie,13 Sep 2019,N/A,Momentum Pictures
283,537739,Can You Keep a Secret?,2019-09-13,tt8707922,N/A,94 min,"Comedy, Romance",Elise Duran,"Peter Hutchings (screenplay by), Sophie Kinsella (based on the novel by)","Alexandra Daddario, Tyler Hoechlin, Kimiko Glenn, Sunita Mani","Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGYxNjQ0MDItODllNS00MTY2LTg2ZGItMzQ0YWNhMjVmNTFjXkEyXkFqcGdeQXVyNDM2NTg0OTQ@._V1_SX300.jpg,5.3,"4,598",,,movie,13 Sep 2019,N/A,Vertical Entertainment
284,482034,Riot Girls,2019-09-13,tt6049106,N/A,81 min,"Action, Sci-Fi",Jovanka Vuckovic,Katherine Collins,"Madison Iseman, Ajay Friese, Paloma Kwiatkowski, Munro Chambers","In an alternate 1995, a mysterious disease has wiped out all of the adults. In this new age, two gangs are pitted against each other in a brutal war for territory, resources and survival.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BY2Q5YmMyM2UtM2E3MC00YTBjLTg4ZjQtOWY4ODYxODAyYmEzXkEyXkFqcGdeQXVyNTU0NzI3OQ@@._V1_SX300.jpg,4.3,357,,,movie,13 Sep 2019,N/A,Cranked Up Films
285,590050,Candy Corn,2019-09-13,tt6264182,N/A,85 min,"Horror, Thriller",Josh Hasty,Josh Hasty,"Tony Todd, P.J. Soles, Courtney Gains, Pancho Moler","It's Halloween weekend and a group of bullies are planning their annual hazing on local outcast, Jacob Atkins. When they take things too far, he's resurrected to seek revenge against those that wronged him.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDA1YTg0Y2UtOWU0NC00MjIwLWJhNTktZWIzOTJjYzgzYzljXkEyXkFqcGdeQXVyNTgyNjIyMTU@._V1_SX300.jpg,3.8,417,,,movie,N/A,N/A,N/A
286,642613,Miss America by Day,2019-09-13,tt10953604,N/A,39 min,"Documentary, Short","Rick Higgins(co-director), Bill Ranshaw(co-director)",N/A,Marilyn Van Derbur,"Marilyn Van Derbur had a fairy-tale life. She appeared to have it all--from a prominent family, crowned Miss America, enjoyed a successful television career, sought-after as a motivational ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzc4NmQ4NTEtNTQyZi00OTNmLTlmZmMtOTk5YzE3Mzg2N2FiXkEyXkFqcGdeQXVyMjQyOTA0Nzg@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
287,630109,Cracked Up,2019-09-13,tt0092792,N/A,100 min,Drama,Karen Arthur,Peter Lefcourt,"Edward Asner, Raphael Sbarge, James Wilder, Marilyn Jones","Seventeen-year-old track star, John Owens, has never used any drug stronger than pot, until he meets an older woman who introduces him to crack cocaine. He quickly becomes addicted but is ...",English,USA,N/A,N/A,5.7,31,,,movie,N/A,N/A,N/A
288,572281,The Favorite,2019-09-13,tt1256139,N/A,N/A,"Drama, Mystery, Thriller",N/A,N/A,"Patricia Pillar, Cláudia Raia, Mariana Ximenes, Glória Menezes","The friendship of two women is torn apart as one, supposedly innocent, is accused of murdering the other one's husband.",Portuguese,Brazil,26 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1ZjE1YTEtYWNiOS00NzNjLTk4N2QtMWM1MTcyNmYyYjRjXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,7.8,448,,,series,,,
289,535544,Downton Abbey,2019-09-20,tt1606375,TV-PG,58 min,"Drama, Romance",N/A,Julian Fellowes,"Hugh Bonneville, Laura Carmichael, Jim Carter, Brendan Coyle",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,English,UK,Won 3 Golden Globes. Another 54 wins & 223 nominations.,https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,8.7,"150,381",,,series,,,
290,524348,The Report,2019-11-15,tt8236336,R,119 min,"Biography, Crime, Drama, History, Thriller",Scott Z. Burns,Scott Z. Burns,"Adam Driver, Corey Stoll, Evander Duck Jr., Jon Hamm","Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",English,USA,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BZGI3ZGNkOGItNWU3ZS00NDIyLTljZjEtZTk5NzkxMjYwMjEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.2,"14,480",,,movie,29 Nov 2019,N/A,Amazon Studios
291,472674,The Goldfinch,2019-09-13,tt3864056,R,149 min,Drama,John Crowley,"Peter Straughan (screenplay by), Donna Tartt (based on the novel by)","Oakes Fegley, Ansel Elgort, Nicole Kidman, Jeffrey Wright",A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.,"English, Ukrainian, German, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BY2ZmNmUzNTctYTA3Mi00ZTg3LWFmMWMtYzU2ZjA3NDRmODIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.2,"8,071",,,movie,N/A,N/A,Warner Bros. Pictures
292,540901,Hustlers,2019-09-13,tt5503686,R,110 min,"Comedy, Crime, Drama, Thriller",Lorene Scafaria,"Jessica Pressler (magazine article), Lorene Scafaria (screenplay)","Constance Wu, Jennifer Lopez, Julia Stiles, Mette Towley","Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.","English, Spanish, Russian",USA,Nominated for 1 Golden Globe. Another 14 wins & 60 nominations.,https://m.media-amazon.com/images/M/MV5BNjM5ZTNiNGMtMDA2OC00MDYyLWEyNzAtOWZmMzFlY2VmOWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.4,"41,687",,,movie,26 Nov 2019,N/A,STXfilms
293,630106,1/2 New Year,2019-09-10,tt4461676,N/A,74 min,"Comedy, Drama",Tom Morash,"Drew McAnany, Georgia Menides","Drew McAnany, Bo Youngblood, Shanley Caswell, Brooke Lewis Bellas","At their annual 1/2 New Year Party, relationships are tested among a group of friends.",N/A,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTBjNWUyNzItMjYzYS00YmE0LTlkNTMtODA2MjdhMjk4YmQ4XkEyXkFqcGdeQXVyMzE1MDYxOTU@._V1_SX300.jpg,6.3,300,,,movie,N/A,N/A,N/A
